中国	China
阿尔巴尼亚	Albania
爱尔巴桑	Elbasan
迪勃拉	Dibra
地拉那	Tirana
都拉斯	Honduras
发罗拉	Valona
费里	Ferry
吉诺卡斯特	Gjirokastra
科尔察	Korca
库克斯	Kukes
莱什	Lash
培拉特	Berat
斯库台	Scutari
阿尔及利亚	Algeria
阿德拉尔	Adrar
阿尔及尔	Algiers
艾因·德夫拉	Ain Dearbhla
艾因·蒂姆尚特	Ain Timshant
安纳巴	Annaba
奥兰	Oran
巴特纳	Buttler
贝贾亚	Bejaia
贝沙尔	Beshr
贝伊德	Beid
比斯克拉	Biskra
布尔吉·布阿雷里吉	Bugi Buararigi
布利达	Blida
布迈德斯	Bbu Aed J
布依拉	Buira
蒂巴扎	Tibaza
蒂斯姆西勒特	Thys M Schiller Te
盖尔达耶	Gail Daye
盖尔马	Gelma
罕西拉	Hanxila
赫利赞	Helizan
吉杰尔	Gijl
杰勒法	Jelfa
君士坦丁	Constantin
拉格瓦特	La Ghemawat
马斯卡拉	Mascia La
麦迪亚	Medea
密拉	Mylar
莫斯塔加纳姆	Mositajianamu
姆西拉	Msila
纳阿马	Naama
塞蒂夫	Setif
赛伊达	Sada
斯基克达	Skikda
苏克·阿赫拉斯	Suk Akhlas
塔里夫	Tarif
塔曼拉塞特	Tamra Seth
特贝萨	Tebessa
特莱姆森	Te Ramsden
提济乌祖	Tizi ouzou
提亚雷特	Tia Leite
廷杜夫	Tindouf
瓦德	Ward
瓦尔格拉	Vargo La
乌姆布阿基	Umm Bbu Aki
西迪贝勒阿贝斯	Sidi Belle Abes
谢里夫	Sheriff
伊利齐	Yiliqi
阿富汗	Afghanistan
赫拉特	Herat
喀布尔	Kabul
坎大哈	Kandaha
马扎里沙里夫	Mazari Sharif
阿根廷	Argentina
巴拉那	Parana
别德马	Viedma
波萨达斯	Posadas
布兰卡港	Blanca
布宜诺斯艾利斯	Buenos Aires
福莫萨	Formosa
胡胡伊	Hu Huyi
卡塔马卡	Catamarca
科尔多瓦	Cordoba
科连特斯	Corrientes
克劳斯城	The city of Claus
肯考迪娅	Ken Cody A
拉里奥哈	Lalio Ha
拉普拉塔	La Plata
雷西斯滕匹亚	Resistencia
里奥加耶戈斯	Leo Gallegos
里奥夸尔托	Leo Guare Tor
里瓦达维亚海军准将城	Comodoro Rivadavia
罗萨里奥	Rosario
罗森	Rosen
马德普拉塔	Mardel Plata
门多萨	Mendoza
内乌肯	Neuquen
萨尔塔	Salta
圣地亚哥-德尔埃斯特罗	Santiago Del Estero
圣菲	Santa Fe
圣胡安	Sheng Huan
圣拉斐尔	Rafael
圣路易斯	Saint Louis
圣罗莎	Santa Rosa
圣米格尔-德图库曼	San Miguel de Tucuman
圣尼古拉斯	San Nicolas
特雷利乌	Torey Liou
乌斯怀亚	Ushuaia
阿拉伯联合酋长国	Arabia and the United Arab Emirates
阿布扎比	Abu Zabi
艾因	Ein
迪拜	Dubai
沙迦	Sharjah
阿鲁巴	Aruba
阿曼	Oman
巴提奈地区	Al batinah region
达希莱地区	Daxilai area
东部地区	The eastern region
